Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sat, Nov 18, 2023",8:00p,Memphis Grizzlies,,San Antonio Spurs,,,,,AT&T Center,
"Sat, Nov 18, 2023",8:30p,Oklahoma City Thunder,,Golden State Warriors,,,,,Chase Center,
"Sun, Nov 19, 2023",3:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,Barclays Center,
"Sun, Nov 19, 2023",4:00p,Detroit Pistons,,Toronto Raptors,,,,,Scotiabank Arena,
"Sun, Nov 19, 2023",5:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Sun, Nov 19, 2023",6:00p,Denver Nuggets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Sun, Nov 19, 2023",7:30p,Sacramento Kings,,Dallas Mavericks,,,,,American Airlines Center,
"Sun, Nov 19, 2023",8:00p,Boston Celtics,,Memphis Grizzlies,,,,,FedEx Forum,
"Sun, Nov 19, 2023",8:00p,Phoenix Suns,,Utah Jazz,,,,,Delta Center,
"Sun, Nov 19, 2023",9:00p,Oklahoma City Thunder,,Portland Trail Blazers,,,,,Moda Center,
"Sun, Nov 19, 2023",9:30p,Houston Rockets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Mon, Nov 20, 2023",7:00p,Boston Celtics,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Nov 20, 2023",7:00p,Denver Nuggets,,Detroit Pistons,,,,,Little Caesars Arena,
"Mon, Nov 20, 2023",7:00p,Milwaukee Bucks,,Washington Wizards,,,,,Capital One Arena,
"Mon, Nov 20, 2023",8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,
"Mon, Nov 20, 2023",8:00p,New York Knicks,,Minnesota Timberwolves,,,,,Target Center,
"Mon, Nov 20, 2023",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
"Mon, Nov 20, 2023",8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
"Mon, Nov 20, 2023",10:00p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
"Tue, Nov 21, 2023",7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,
"Tue, Nov 21, 2023",7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,
"Tue, Nov 21, 2023",7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Tue, Nov 21, 2023",9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,
"Tue, Nov 21, 2023",10:00p,Utah Jazz,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Wed, Nov 22, 2023",7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Nov 22, 2023",7:00p,Denver Nuggets,,Orlando Magic,,,,,Amway Center,
"Wed, Nov 22, 2023",7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
"Wed, Nov 22, 2023",7:30p,Milwaukee Bucks,,Boston Celtics,,,,,TD Garden,
"Wed, Nov 22, 2023",7:30p,Miami Heat,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Nov 22, 2023",7:30p,Toronto Raptors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Wed, Nov 22, 2023",8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,
"Wed, Nov 22, 2023",8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,Target Center,
"Wed, Nov 22, 2023",8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
"Wed, Nov 22, 2023",8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,
"Wed, Nov 22, 2023",8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
"Wed, Nov 22, 2023",10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,
"Wed, Nov 22, 2023",10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
"Wed, Nov 22, 2023",10:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Fri, Nov 24, 2023",2:30p,Boston Celtics,,Orlando Magic,,,,,Amway Center,
"Fri, Nov 24, 2023",5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Nov 24, 2023",7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),
"Fri, Nov 24, 2023",7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,
"Fri, Nov 24, 2023",8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,
"Fri, Nov 24, 2023",8:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
